Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Costa Rica,CRI,Gini index (World Bank estimate),SI.POV.GINI,48.3
Costa Rica,CRI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9775.85087831526
Cote d'Ivoire,CIV,Population density (people per sq. km of land area),EN.POP.DNST,76.8473867924528
Cote d'Ivoire,CIV,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Cote d'Ivoire,CIV,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Cote d'Ivoire,CIV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Cote d'Ivoire,CIV,Gini index (World Bank estimate),SI.POV.GINI,..
Cote d'Ivoire,CIV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1600.76524303476
Croatia,HRV,Population density (people per sq. km of land area),EN.POP.DNST,73.7049857040743
Croatia,HRV,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,100
Croatia,HRV,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,100
Croatia,HRV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.8645
Croatia,HRV,Gini index (World Bank estimate),SI.POV.GINI,30.4
Croatia,HRV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,15350.4430330327
Cuba,CUB,Population density (people per sq. km of land area),EN.POP.DNST,109.010373005191
Cuba,CUB,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Cuba,CUB,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Cuba,CUB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.43066
Cuba,CUB,Gini index (World Bank estimate),SI.POV.GINI,..
Cuba,CUB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6666.33172826664
Curacao,CUW,Population density (people per sq. km of land area),EN.POP.DNST,360.754504504505
Curacao,CUW,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,..
Curacao,CUW,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,..
Curacao,CUW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..
Curacao,CUW,Gini index (World Bank estimate),SI.POV.GINI,..
Curacao,CUW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Cyprus,CYP,Population density (people per sq. km of land area),EN.POP.DNST,127.670995670996
Cyprus,CYP,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,100
Cyprus,CYP,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,100
Cyprus,CYP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,0.56092
Cyprus,CYP,Gini index (World Bank estimate),SI.POV.GINI,31.4
Cyprus,CYP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,30650.244788011
Czech Republic,CZE,Population density (people per sq. km of land area),EN.POP.DNST,137.198109298109
