,Country_name,UHC_index_service_coverage,UHC_newborn_and_child_health,UHC_Infectious_diseases,UHC_Non_communicable.diseases,UHC_Service_capacity_and_access,Year,Life_Ladder,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,Confidence_in_national_government,Democratic_Quality,Delivery_Quality,Standard_deviation_of_ladder_by_country_year,Standard_deviation_Mean_of_ladder_by_country_year,GINI_index_estimate_average_2000-16,gini_of_household_income_by_wp5_year,Completeness_birth_registration_female(%),Completeness_birth_registration_male(%),GDP_per_capita_(constant 2010 US$),Gini_index(2017),Population_density(per_sq_km),Research_and_development_expenditure(%_of_GDP)
99,Serbia,65,75,75,42,76,2017,5.122031212,9.550297737,0.883770406,67.80000305,0.684846342,-0.077337377,0.851457834,0.50972122,0.326407075,0.511197984,0.109036274,-0.091615312,2.394509554,0.467492193,NA,0.366129756,..,..,6560.323194,36.2,80.27507432,0.87353
100,Sierra Leone,39,69,36,62,15,2017,4.089562416,7.237275124,0.652287126,49.20000076,0.710613549,0.086719848,0.848398328,0.600368202,0.495040029,0.73751694,-0.091980204,-0.875413895,2.59525919,0.634605587,0.371,0.583586097,81,82,466.9450694,..,103.7466196,..
101,Singapore,86,90,77,78,100,2017,6.378437996,11.35668564,0.897349894,76.5,0.926127851,0.125963226,0.161790684,0.800114393,0.179324552,0.92699796,0.708121538,2.069170475,1.418072224,0.222322807,NA,0.564909577,..,..,57378.86197,..,7915.730436,1.94431
102,Slovenia,79,92,77,59,92,2017,6.166837692,10.35458946,0.928187847,70.80000305,0.920862675,-0.027939947,0.828794718,0.615109682,0.285601437,0.239779726,0.949709475,0.896576881,1.982300639,0.321445256,0.2495,0.359244138,100,100,25721.85744,24.2,102.5910064,1.86581
103,South Africa,69,79,62,58,80,2017,4.513655186,9.416937828,0.870313287,56.09999847,0.787427902,-0.137357384,0.864781916,0.784800708,0.268175244,0.423274219,0.184953198,0.123070933,2.419569492,0.536055446,0.624,0.565037489,..,..,7476.386324,..,46.98781706,0.83215
104,South Sudan,31,28,26,69,18,2017,2.816622496,NA,0.556822658,51,0.456011087,NA,0.761269629,0.585602164,0.517363787,0.461550504,-2.138769388,-2.018496752,2.736837626,0.971673548,0.463,0.703007579,..,..,..,..,..,..
105,Spain,83,93,79,65,98,2017,6.230173111,10.4420948,0.903158188,74.09999847,0.755560756,-0.036033396,0.791268766,0.625055611,0.302387655,0.269585967,0.648078322,0.869333565,1.80572176,0.289834917,0.345384615,0.378949553,100,100,32282.90385,34.7,93.26780444,1.2058
106,Sri Lanka,66,78,57,74,58,2017,4.330945492,9.364697456,0.822770596,67,0.827077389,0.088255383,0.844210029,0.794951618,0.269727528,0.517589927,-0.061903223,-0.169688806,2.230376005,0.514985919,0.3934,0.427296966,..,..,3860.150308,..,341.9550311,..
107,Sweden,86,92,84,74,98,2017,7.286804676,10.75682354,0.914016783,72.5,0.934582114,0.163362831,0.239366919,0.81354779,0.175066829,0.559461951,1.276802063,1.92774713,1.777176857,0.243889734,0.274153846,0.346856117,100,100,57467.24997,28.8,24.69298078,3.39676
108,Switzerland,83,94,76,68,97,2017,7.473593235,10.95797634,0.949661374,73.80000305,0.924996912,0.17511341,0.316183478,0.773997068,0.195871487,0.819706738,1.382011414,1.964224815,1.544615626,0.206676438,0.3281,0.295817792,100,100,77684.04818,32.7,213.8839911,3.37286
